Hora;T1;V1;T2;V2;T3;V3
08:50;26.51;0.2;25.30;1.1;24.64;1.7
08:56;26.25;0.1;24.89;0.9;24.39;1.4
09:02;27.54;0.2;24.91;1.4;24.15;1.9
09:08;27.13;0.1;24.91;1.2;23.64;1.6
09:14;30.99;0.2;27.84;0.7;26.04;1.8
09:20;27.22;0;25.25;1.1;23.44;1.3
09:26;26.38;0.2;25.20;1.2;23.92;1.5
09:32;26.12;0.3;24.91;1.3;24.54;1.9
09:38;30.14;0.2;29.31;0.9;26.98;1.2
09:44;27.54;0.2;26.20;1.3;24.88;1.5
09:50;27.92;0.1;25.10;1.6;23.57;2.2
09:56;28.34;0;26.05;0.9;23.87;1.3
10:02;26.86;0.1;27.14;0.8;24.58;1.4
10:08;28.29;0.2;25.20;1.1;24.85;1.5
