t	Zt
1	122.9
2	164.1
3	159.4
4	168.5
5	141.1
6	136.8
7	137.1
8	105
9	112.6
10	144.3
11	175.1
12	187.9
13	208.3
14	208.5
15	190.5
16	185.3
17	162
18	185.5
19	167.8
20	160.5
21	146.6
22	153.4
23	178.6
24	180.3
25	192.4
26	219.5
27	243.3
28	240.9
29	192.6
30	212.1
31	185.8
32	188.8
33	185.6
34	201.4
35	221.1
36	229.4
37	217.8
38	240.4
39	256.8
40	241.9
41	249.5
42	200.6
43	204.5
44	221
45	220.4
46	213.6
47	223.9
48	254.4
49	250.8
50	257.9
51	284.5
52	254.6
53	256.1
54	263.5
55	238.8
56	228.8
57	243.3
58	244.9
59	262.6
60	293.8
61	289.4
62	299.3
63	307.9
64	291.4
65	272.9
66	280.9
67	284
68	264.5
69	249.9
70	267.5
71	289.8
72	286.3
73	316.9
74	324.8
75	330.1
76	318.8
77	315.4
78	315.4
79	291.5
80	296.6
81	310
82	326.8
83	300.5
84	312.5
85	345
86	348.9
87	349
88	366.9
89	330.9
90	323.1
91	304.5
92	289.4
93	329.9
94	336.8
95	335.4
96	334.4
