t	y	m	Zt
1	1	1	122.9
2	1	2	164.1
3	1	3	159.4
4	1	4	168.5
5	1	5	141.1
6	1	6	136.8
7	1	7	137.1
8	1	8	105
9	1	9	112.6
10	1	10	144.3
11	1	11	175.1
12	1	12	187.9
13	2	1	208.3
14	2	2	208.5
15	2	3	190.5
16	2	4	185.3
17	2	5	162
18	2	6	185.5
19	2	7	167.8
20	2	8	160.5
21	2	9	146.6
22	2	10	153.4
23	2	11	178.6
24	2	12	180.3
25	3	1	192.4
26	3	2	219.5
27	3	3	243.3
28	3	4	240.9
29	3	5	192.6
30	3	6	212.1
31	3	7	185.8
32	3	8	188.8
33	3	9	185.6
34	3	10	201.4
35	3	11	221.1
36	3	12	229.4
37	4	1	217.8
38	4	2	240.4
39	4	3	256.8
40	4	4	241.9
41	4	5	249.5
42	4	6	200.6
43	4	7	204.5
44	4	8	221
45	4	9	220.4
46	4	10	213.6
47	4	11	223.9
48	4	12	254.4
49	5	1	250.8
50	5	2	257.9
51	5	3	284.5
52	5	4	254.6
53	5	5	256.1
54	5	6	263.5
55	5	7	238.8
56	5	8	228.8
57	5	9	243.3
58	5	10	244.9
59	5	11	262.6
60	5	12	293.8
61	6	1	289.4
62	6	2	299.3
63	6	3	307.9
64	6	4	291.4
65	6	5	272.9
66	6	6	280.9
67	6	7	284
68	6	8	264.5
69	6	9	249.9
70	6	10	267.5
71	6	11	289.8
72	6	12	286.3
73	7	1	316.9
74	7	2	324.8
75	7	3	330.1
76	7	4	318.8
77	7	5	315.4
78	7	6	315.4
79	7	7	291.5
80	7	8	296.6
81	7	9	310
82	7	10	326.8
83	7	11	300.5
84	7	12	312.5
85	8	1	345
86	8	2	348.9
87	8	3	349
88	8	4	366.9
89	8	5	330.9
90	8	6	323.1
91	8	7	304.5
92	8	8	289.4
93	8	9	329.9
94	8	10	336.8
95	8	11	335.4
96	8	12	334.4
