t	Zt
1	23.8
2	17.9
3	34
4	28
5	29.5
6	24.3
7	37.2
8	35.1
9	37.5
10	44.7
11	41.6
12	18.3
13	50.1
14	67.2
15	59.2
16	49.4
17	59.3
18	79.4
19	47.2
20	61
21	60.1
22	58.4
23	89.3
24	77.1
25	87.3
26	69.1
27	83
28	79.7
29	69.7
30	98.2
31	73.1
32	89.7
33	76.1
34	64.9
35	99
36	99.8
37	108.7
38	102.4
39	108.1
40	89.2
41	115.1
42	99.6
43	103.1
44	118.7
45	110.7
46	123.7
47	112.3
48	107.6
49	113.1
50	107
51	115.5
52	118.1
53	133.8
54	127.6
55	132.9
56	116.8
57	120.1
58	128.5
59	139.9
60	114.7
61	132
62	144.9
63	147.7
64	137.1
65	135.3
66	141.2
67	125.7
68	143.5
69	147.4
70	149.7
71	144.7
72	149.7
73	144.3
74	156.4
75	173.1
76	177.4
77	130.7
78	150.5
79	181.1
80	187.1
